------------------------------------------------------
L2 size  gcc_trace.txt\n
------------------------------------------------------
8	64	1	1984	1	1	1	63640	30859	36360	20419	0.5128	51278	17552	22357	0	248	17304	0.2384	11079	28631	4.0384
16	64	1	1984	1	1	1	63640	32741	36360	16926	0.4967	49667	14005	18801	0	124	13881	0.2045	7757	21762	3.6542
32	64	1	1984	1	1	1	63640	36469	36360	16908	0.5338	53377	13577	18178	0	62	13515	0.1897	6346	19923	3.8317
64	64	1	1984	1	1	1	63640	40467	36360	17086	0.5755	57553	14856	18598	0	31	14825	0.1951	6140	20996	4.3616
8	64	1	1984	2	1	1	63640	30859	36360	20419	0.5128	51278	15129	22357	14	124	15019	0.2056	9912	25055	3.7157
16	64	1	1984	2	1	1	63640	32741	36360	16926	0.4967	49667	11913	18801	1	62	11852	0.1740	6802	18716	3.3556
32	64	1	1984	2	1	1	63640	36469	36360	16908	0.5338	53377	11064	18178	2	31	11035	0.1547	5351	16417	3.4517
64	64	1	1984	2	1	1	63640	40467	36360	17086	0.5755	57553	12143	18598	0	15	12128	0.1595	5073	17216	3.9249
8	64	1	1984	4	1	1	63640	30859	36360	20419	0.5128	51278	13620	22357	0	62	13558	0.1850	9254	22874	3.5292
16	64	1	1984	4	1	1	63640	32741	36360	16926	0.4967	49667	10590	18801	0	31	10559	0.1547	6333	16923	3.1836
32	64	1	1984	4	1	1	63640	36469	36360	16908	0.5338	53377	9822	18178	0	15	9807	0.1373	5134	14956	3.2835
64	64	1	1984	4	1	1	63640	40467	36360	17086	0.5755	57553	11080	18598	0	7	11073	0.1455	4849	15929	3.7770
8	64	1	1984	8	1	1	63640	30859	36360	20419	0.5128	51278	13124	22357	0	31	13093	0.1782	8994	22118	3.5114
16	64	1	1984	8	1	1	63640	32741	36360	16926	0.4967	49667	10010	18801	0	15	9995	0.1462	6072	16082	3.1470
32	64	1	1984	8	1	1	63640	36469	36360	16908	0.5338	53377	10068	18178	0	7	10061	0.1407	5329	15397	3.3754
64	64	1	1984	8	1	1	63640	40467	36360	17086	0.5755	57553	11789	18598	0	3	11786	0.1548	5038	16827	3.9524
8	64	1	1984	16	1	1	63640	30859	36360	20419	0.5128	51278	13231	22357	0	15	13216	0.1797	9038	22269	3.6289
16	64	1	1984	16	1	1	63640	32741	36360	16926	0.4967	49667	10209	18801	0	7	10202	0.1491	6175	16384	3.2759
32	64	1	1984	16	1	1	63640	36469	36360	16908	0.5338	53377	10645	18178	0	3	10642	0.1488	5620	16265	3.5725
64	64	1	1984	16	1	1	63640	40467	36360	17086	0.5755	57553	14435	18598	0	1	14434	0.1896	5992	20427	4.5075
8	64	2	1984	1	1	1	63640	28837	36360	19505	0.4834	48342	17423	21687	217	248	17392	0.2519	11084	28724	3.9795
16	64	2	1984	1	1	1	63640	31224	36360	15986	0.4721	47210	13857	18083	326	124	14059	0.2172	7733	21916	3.6359
32	64	2	1984	1	1	1	63640	35321	36360	15072	0.5039	50393	13389	16907	314	62	13641	0.2036	6333	20036	3.8074
8	64	2	1984	2	1	1	63640	28837	36360	19505	0.4834	48342	15159	21687	5	124	15040	0.2165	9932	25096	3.6497
16	64	2	1984	2	1	1	63640	31224	36360	15986	0.4721	47210	11914	18083	5	62	11857	0.1825	6800	18719	3.3121
32	64	2	1984	2	1	1	63640	35321	36360	15072	0.5039	50393	11042	16907	5	31	11016	0.1641	5349	16396	3.4024
8	64	2	1984	4	1	1	63640	28837	36360	19505	0.4834	48342	13627	21687	0	62	13565	0.1946	9257	22884	3.4617
16	64	2	1984	4	1	1	63640	31224	36360	15986	0.4721	47210	10584	18083	0	31	10553	0.1621	6327	16911	3.1378
32	64	2	1984	4	1	1	63640	35321	36360	15072	0.5039	50393	9824	16907	0	15	9809	0.1460	5136	14960	3.2353
8	64	2	1984	8	1	1	63640	28837	36360	19505	0.4834	48342	13122	21687	0	31	13091	0.1874	8997	22119	3.4403
16	64	2	1984	8	1	1	63640	31224	36360	15986	0.4721	47210	10003	18083	0	15	9988	0.1532	6077	16080	3.0989
32	64	2	1984	8	1	1	63640	35321	36360	15072	0.5039	50393	10085	16907	0	7	10078	0.1499	5340	15425	3.3267
8	64	2	1984	16	1	1	63640	28837	36360	19505	0.4834	48342	13234	21687	0	15	13219	0.1890	9047	22281	3.5525
16	64	2	1984	16	1	1	63640	31224	36360	15986	0.4721	47210	10188	18083	0	7	10181	0.1560	6174	16362	3.2208
32	64	2	1984	16	1	1	63640	35321	36360	15072	0.5039	50393	10634	16907	0	3	10631	0.1580	5609	16243	3.5138
